Note,LGBTQ,ADULT_CONTENT,HEALTH,DRUGS_ALCOHOL_GAMBLING,RACE,VIOLENCE_CRIME,POLITICS,RELATION,LOCATION,NONE
inflight sleep aids form highly alcoholic pints beer,0,0,1,0,0,0,0,0,0,0
monthly payment best daughter ever,0,0,0,0,0,0,0,1,0,0
poker,0,0,0,1,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
strippers,0,1,0,0,0,0,0,0,0,0
vegas,0,0,0,0,0,0,0,0,1,0
bisexual,1,0,0,0,0,0,0,0,0,0
sexual services,0,1,0,0,0,0,0,0,0,0
mediocre sexual things,0,1,0,0,0,0,0,0,0,0
saida daughter,0,0,0,0,0,0,0,1,0,0
bail,0,0,0,0,0,1,0,0,0,0
first adult top dog,0,1,0,0,0,0,0,0,0,0
adult entertainment,0,1,0,0,0,0,0,0,0,0
osteoporosis,0,0,1,0,0,0,0,0,0,0
mexican donkey show,0,0,0,0,1,0,0,0,0,0
medicine,0,0,1,0,0,0,0,0,0,0
trafficking clothes,0,0,0,0,0,1,0,0,0,0
gay stuff,1,0,0,0,0,0,0,0,0,0
medication,0,0,1,0,0,0,0,0,0,0
man walks bar asks bartender glass water bartender points gun man man says thank leaves,0,0,0,0,0,1,0,0,0,0
sit group richard hudson daughter,0,0,0,0,0,0,0,1,0,0
wheelchair move,0,0,1,0,0,0,0,0,0,0
sexual activities,0,1,0,0,0,0,0,0,0,0
cauldron food,0,0,0,0,0,0,0,0,0,0
mom,0,0,0,0,0,0,0,1,0,0
hi,0,0,0,0,0,0,0,0,0,0
baked alaska,0,0,0,0,0,0,0,0,1,0
enabling addiction,0,0,0,1,0,0,0,0,0,0
nyc babayyyyyy,0,0,0,0,0,0,0,0,1,0
look mayors house,0,0,0,0,0,0,1,0,0,0
fuk fund,0,1,0,0,0,0,0,0,0,0
jew,0,0,0,0,1,0,0,0,0,0
michelle obama tickets,0,0,0,0,0,0,1,0,0,0
table venmo_dollar,0,0,0,0,0,0,0,0,0,0
imported weapons middle east,0,0,0,0,0,1,0,0,0,0
indian giver,0,0,0,0,1,0,0,0,0,0
heroin black wizard,0,0,0,1,0,0,0,0,0,0
thanks obama,0,0,0,0,0,0,1,0,0,0
beltz punishment,0,0,0,0,0,1,0,0,0,0
lesbian reasons,1,0,0,0,0,0,0,0,0,0
mission communism,0,0,0,0,0,0,1,0,0,0
dallas,0,0,0,0,0,0,0,0,1,0
extra stomach,0,0,1,0,0,0,0,0,0,0
africa,0,0,0,0,1,0,0,0,0,0
karen president,0,0,0,0,0,0,1,0,0,0
sexual acts,0,1,0,0,0,0,0,0,0,0
infected enemy troops ligma,0,0,0,0,0,1,0,0,0,0
venmo_dollar venmo_dollar venmo_dollar,0,0,0,0,0,0,0,0,0,0
funding husband debauchery,0,0,0,0,0,0,0,1,0,0
jodi sgouros chris sgouros husband deedee browne,0,0,0,0,0,0,0,1,0,0
vegas,0,0,0,0,0,0,0,0,1,0
gay hiv test,1,0,0,0,0,0,0,0,0,0
cause son loves,0,0,0,0,0,0,0,1,0,0
leave early get tea feel better daughter,0,0,0,0,0,0,0,1,0,0
jail,0,0,0,0,0,1,0,0,0,0
lambs slaughter,0,0,0,0,0,1,0,0,0,0
mexican iza,0,0,0,0,1,0,0,0,0,0
new york,0,0,0,0,0,0,0,0,1,0
pain bag tho,0,0,1,0,0,0,0,0,0,0
oh yeah,0,0,0,0,0,0,0,0,0,0
want husband keep,0,0,0,0,0,0,0,1,0,0
hefty price couple vodka waters,0,0,0,1,0,0,0,0,0,0
um yeah,0,0,0,0,0,0,0,0,0,0
switzerland germany train,0,0,0,0,0,0,0,0,1,0
lesbian brunch irv,1,0,0,0,0,0,0,0,0,0
stuff,0,0,0,0,0,0,0,0,0,0
san diego,0,0,0,0,0,0,0,0,1,0
tax n government things,0,0,0,0,0,0,1,0,0,0
medicine,0,0,1,0,0,0,0,0,0,0
love god stop gay,1,0,0,0,0,0,0,0,0,0
pitcher captain,0,0,0,0,0,0,0,0,0,0
dinner mike chinese tuxedo,0,0,0,0,1,0,0,0,0,0
divorce care,0,0,0,0,0,0,0,1,0,0
depression snack,0,0,1,0,0,0,0,0,0,0
poker,0,0,0,1,0,0,0,0,0,0
reinstating communism,0,0,0,0,0,0,1,0,0,0
paying jail release,0,0,0,0,0,1,0,0,0,0
rat poison,0,0,0,0,0,1,0,0,0,0
cheers governor,0,0,0,0,0,0,1,0,0,0
making husband handsome,0,0,0,0,0,0,0,1,0,0
finland coke,0,0,0,0,0,0,0,0,1,0
hey,0,0,0,0,0,0,0,0,0,0
much monica america even voted,0,0,0,0,0,0,1,0,0,0
pain never stops,0,0,1,0,0,0,0,0,0,0
thailand,0,0,0,0,0,0,0,0,1,0
deposit senior shoot,0,0,0,0,0,1,0,0,0,0
italiano,0,0,0,0,1,0,0,0,0,0
systematic racism,0,0,0,0,1,0,0,0,0,0
government conspiracies,0,0,0,0,0,0,1,0,0,0
go jew,0,0,0,0,1,0,0,0,0,0
dealing moving stuff,0,0,0,0,0,0,0,0,0,0
switzerland,0,0,0,0,0,0,0,0,1,0
trev lorna bet,0,0,0,1,0,0,0,0,0,0
ur dirty mexican,0,0,0,0,1,0,0,0,0,0
conditioning treatment sorry delayed,0,0,1,0,0,0,0,0,0,0
putin s birthday,0,0,0,0,0,0,1,1,0,0
packing supplies relationship therapy,0,0,1,0,0,0,0,0,0,0
let fire,0,0,0,0,0,1,0,0,0,0
dubai drip,0,0,0,0,0,0,0,0,1,0
venmo_dollar exchange,0,0,0,0,0,0,0,0,0,0
thai,0,0,0,0,1,0,0,0,0,0
adam knowles payment suicide,0,0,0,0,0,1,0,0,0,0
hi thank,0,0,0,0,0,0,0,0,0,0
vegas dinna,0,0,0,0,0,0,0,0,1,0
jew girl,0,0,0,0,1,0,0,0,0,0
stomach aches,0,0,1,0,0,0,0,0,0,0
husband,0,0,0,0,0,0,0,1,0,0
killing,0,0,0,0,0,1,0,0,0,0
rent,0,0,0,0,0,0,0,1,0,0
m king new york,0,0,0,0,0,0,0,0,1,0
black,0,0,0,0,1,0,0,0,0,0
professional ncaa league services putin,0,0,0,0,0,0,1,0,0,0
supplies weekend blowjobs,0,1,0,0,0,0,0,0,0,0
russian missile,0,0,0,0,0,1,0,0,0,0
cause gay,1,0,0,0,0,0,0,0,0,0
vomit shoes,0,0,1,0,0,0,0,0,0,0
herpes twice,0,0,1,0,0,0,0,0,0,0
energy jesus filled day,0,0,0,0,1,0,0,0,0,0
time weewee got shriveled ft elevation trek ice field lake wife bet cash,0,0,0,1,0,0,0,0,0,0
ireland,0,0,0,0,0,0,0,0,1,0
bill clintons,0,0,0,0,0,0,1,0,0,0
bein gay,1,0,0,0,0,0,0,0,0,0
hey,0,0,0,0,0,0,0,0,0,0
father son bonding,0,0,0,0,0,0,0,1,0,0
el centro,0,0,0,0,0,0,0,0,1,0
snobs going london,0,0,0,0,0,0,0,0,1,0
native americans,0,0,0,0,1,0,0,0,0,0
bush,0,0,0,0,0,0,1,0,0,0
bush,0,0,0,0,0,0,1,0,0,0
poker,0,0,0,1,0,0,0,0,0,0
nigerian prince email scam,0,0,0,0,1,0,0,0,0,0
da bet,0,0,0,1,0,0,0,0,0,0
black market weapons,0,0,0,0,0,1,0,0,0,0
walk sohl rizzo criminals,0,0,0,0,0,1,0,0,0,0
asian,0,0,0,0,1,0,0,0,0,0
pay ur mom back,0,0,0,0,0,0,0,1,0,0
cheating,0,0,0,0,0,1,0,0,0,0
daughter chris week gffl high scorer,0,0,0,0,0,0,0,1,0,0
dc brunch ketamine,0,0,0,1,0,0,0,0,0,0
hope queer eye guys,1,0,0,0,0,0,0,0,0,0
uh yeah,0,0,0,0,0,0,0,0,0,0
thai women,0,0,0,0,1,0,0,0,0,0
bet,0,0,0,1,0,0,0,0,0,0
