Note,LGBTQ,ADULT_CONTENT,HEALTH,DRUGS_ALCOHOL_GAMBLING,RACE,VIOLENCE_CRIME,POLITICS,RELATION,LOCATION,NONE
gay rights,1,0,0,0,0,0,0,0,0,0
ur gay,1,0,0,0,0,0,0,0,0,0
no homo,1,0,0,0,0,0,0,0,0,0
if you read this ur gay,1,0,0,0,0,0,0,0,0,0
homo,1,0,0,0,0,0,0,0,0,0
mount gay,1,0,0,0,0,0,0,0,0,0
gay stuff,1,0,0,0,0,0,0,0,0,0
cause you  re gay,1,0,0,0,0,0,0,0,0,0
to gay jess for not gay jess,1,0,0,0,0,0,0,0,0,0
being gay,1,0,0,0,0,0,0,0,0,0
using your girlfriend as my girlfriend to prove to my family i  m not gay  not that there is anything wrong with being gay but i just needed a girlfriend for a day,1,0,0,0,0,0,0,0,0,0
cheese gay,1,0,0,0,0,0,0,0,0,0
one beer queer,1,0,0,0,0,0,0,0,0,0
bi,1,0,0,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
did you know  cuba  s new constitution legalizes gay marriage,1,0,0,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
dismantaling the heterosexual agenda,1,0,0,0,0,0,0,0,0,0
gay tax,1,0,0,0,0,0,0,0,0,0
food for the other lesbian,1,0,0,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
homo things,1,0,0,0,0,0,0,0,0,0
big ol  lesbian stuff,1,0,0,0,0,0,0,0,0,0
You are a raging homosexual,1,0,0,0,0,0,0,0,0,0
queer money,1,0,0,0,0,0,0,0,0,0
making eye contact with lesbian jesus,1,0,0,0,0,0,0,0,0,0
you  re gay,1,0,0,0,0,0,0,0,0,0
for being gay,1,0,0,0,0,0,0,0,0,0
cause you gay lol,1,0,0,0,0,0,0,0,0,0
ur gay,1,0,0,0,0,0,0,0,0,0
gay rights activist,1,0,0,0,0,0,0,0,0,0
for being gay,1,0,0,0,0,0,0,0,0,0
gay boi,1,0,0,0,0,0,0,0,0,0
rent pt1  everyone s queer and happy,1,0,0,0,0,0,0,0,0,0
the gay agenda,1,0,0,0,0,0,0,0,0,0
aga is so gay,1,0,0,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
that one time we went to a gay club,1,0,0,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
his gay hookerz,1,0,0,0,0,0,0,0,0,0
being gay,1,0,0,0,0,0,0,0,0,0
gay kids,1,0,0,0,0,0,0,0,0,0
bills  jameson  lesbians,1,0,0,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
lesbian cousin smoothie,1,0,0,0,0,0,0,0,0,0
gay boy drinks,1,0,0,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
being gay,1,0,0,0,0,0,0,0,0,0
koz is gay,1,0,0,0,0,0,0,0,0,0
gay stuff,1,0,0,0,0,0,0,0,0,0
usd coaches gay,1,0,0,0,0,0,0,0,0,0
lesbians like us,1,0,0,0,0,0,0,0,0,0
gay drunk,1,0,0,0,0,0,0,0,0,0
gay stuff,1,0,0,0,0,0,0,0,0,0
homos,1,0,0,0,0,0,0,0,0,0
transgender equality uganda,1,0,0,0,0,0,0,0,0,0
dyke,1,0,0,0,0,0,0,0,0,0
for transgender equality uganda  teu,1,0,0,0,0,0,0,0,0,0
doing not gay things while being in a hotel,1,0,0,0,0,0,0,0,0,0
i  m gay,1,0,0,0,0,0,0,0,0,0
lesbian activités,1,0,0,0,0,0,0,0,0,0
being gay,1,0,0,0,0,0,0,0,0,0
you loose gay boi,1,0,0,0,0,0,0,0,0,0
you  re gay,1,0,0,0,0,0,0,0,0,0
cuz you gay,1,0,0,0,0,0,0,0,0,0
bi,1,0,0,0,0,0,0,0,0,0
cause i ain  t gay,1,0,0,0,0,0,0,0,0,0
lesbian,1,0,0,0,0,0,0,0,0,0
token lesbian,1,0,0,0,0,0,0,0,0,0
the gay stripper,1,0,0,0,0,0,0,0,0,0
for being gay,1,0,0,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
u gay,1,0,0,0,0,0,0,0,0,0
the gay loft is now in sight,1,0,0,0,0,0,0,0,0,0
gay utilities bill,1,0,0,0,0,0,0,0,0,0
being gay,1,0,0,0,0,0,0,0,0,0
having a gay old day,1,0,0,0,0,0,0,0,0,0
good road head  i  m gay,1,0,0,0,0,0,0,0,0,0
cover for the gay bar,1,0,0,0,0,0,0,0,0,0
v gay  no phones,1,0,0,0,0,0,0,0,0,0
that gay street dance,1,0,0,0,0,0,0,0,0,0
3 beer queer,1,0,0,0,0,0,0,0,0,0
that bartender wanted us to be her gay best friends,1,0,0,0,0,0,0,0,0,0
for being gay,1,0,0,0,0,0,0,0,0,0
two dumplings  chilling in a tub of vinegar  5 feet apart cause they  re not gay,1,0,0,0,0,0,0,0,0,0
big gay,1,0,0,0,0,0,0,0,0,0
for always loving me in a decent heterosexual manner,1,0,0,0,0,0,0,0,0,0
transgender equality uganda  thank you for all you do,1,0,0,0,0,0,0,0,0,0
lesbian brunch   irv,1,0,0,0,0,0,0,0,0,0
you are a raging homosexual,1,0,0,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
mount gay,1,0,0,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
anti gay therapy,1,0,1,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
u gay or what,1,0,0,0,0,0,0,0,0,0
ur gay,1,0,0,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
golf is gay,1,0,0,0,0,0,0,0,0,0
the gay food,1,0,0,0,0,0,0,0,0,0
gay stuff,1,0,0,0,0,0,0,0,0,0
no homo,1,0,0,0,0,0,0,0,0,0
i  m not gay i swear,1,0,0,0,0,0,0,0,0,0
lesbo,1,0,0,0,0,0,0,0,0,0
camp gay love,1,0,0,0,0,0,0,0,0,0
i  m not gay i swear,1,0,0,0,0,0,0,0,0,0
for being a homo,1,0,0,0,0,0,0,0,0,0
you act gay but aren  t,1,0,0,0,0,0,0,0,0,0
summer gay wear,1,0,0,0,0,0,0,0,0,0
ur mum gay,1,0,0,0,0,0,0,0,0,0
im not gay but 5 dollars is 5 dollars,1,0,0,0,0,0,0,0,0,0
gay guy,1,0,0,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
ur gay,1,0,0,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
you  re homo,1,0,0,0,0,0,0,0,0,0
gay water,1,0,0,0,0,0,0,0,0,0
lesbian party goods,1,0,0,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
old debt  gay,1,0,0,0,0,0,0,0,0,0
gay pods,1,0,0,0,0,0,0,0,0,0
ur gay,1,0,0,0,0,0,0,0,0,0
e gay qua,1,0,0,0,0,0,0,0,0,0
ur gay,1,0,0,0,0,0,0,0,0,0
gay stuff,1,0,0,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
gay marriage was legalized in massachusetts in 2008,1,0,0,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
ur gay,1,0,0,0,0,0,0,0,0,0
queer,1,0,0,0,0,0,0,0,0,0
you re gay,1,0,0,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
you  re mom gay,1,0,0,0,0,0,0,0,0,0
gay bku,1,0,0,0,0,0,0,0,0,0
and gay cove,1,0,0,0,0,0,0,0,0,0
gay for pay,1,0,0,0,0,0,0,0,0,0
big gay spaghetti,1,0,0,0,0,0,0,0,0,0
no u gay,1,0,0,0,0,0,0,0,0,0
ur gay,1,0,0,0,0,0,0,0,0,0
you  re gay,1,0,0,0,0,0,0,0,0,0
bruh gay,1,0,0,0,0,0,0,0,0,0
queer,1,0,0,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
you  re gay,1,0,0,0,0,0,0,0,0,0
bruh gay,1,0,0,0,0,0,0,0,0,0
queer,1,0,0,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
davis needs a gay bar,1,0,0,0,0,0,0,0,0,0
you re gay,1,0,0,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
you  re gay,1,0,0,0,0,0,0,0,0,0
bruh gay,1,0,0,0,0,0,0,0,0,0
being gay,1,0,0,0,0,0,0,0,0,0
the gay agenda,1,0,0,0,0,0,0,0,0,0
one small cheese and one small super gay,1,0,0,0,0,0,0,0,0,0
gay princes,1,0,0,0,0,0,0,0,0,0
gay boy,1,0,0,0,0,0,0,0,0,0
gay bars,1,0,0,1,0,0,0,0,0,0
gay  festival,1,0,0,0,0,0,0,0,0,0
gay stripper,1,0,0,0,0,0,0,0,0,0
ur gay,1,0,0,0,0,0,0,0,0,0
lawn gay,1,0,0,0,0,0,0,0,0,0
being gay,1,0,0,0,0,0,0,0,0,0
johns gay,1,0,0,0,0,0,0,0,0,0
more gay stuff,1,0,0,0,0,0,0,0,0,0
being gay,1,0,0,0,0,0,0,0,0,0
ur gay,1,0,0,0,0,0,0,0,0,0
real gay,1,0,0,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
ur gay,1,0,0,0,0,0,0,0,0,0
pentatonix  gay,1,0,0,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
gay bar,1,0,0,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
ur gay,1,0,0,0,0,0,0,0,0,0
earl gay,1,0,0,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
being gay,1,0,0,0,0,0,0,0,0,0
for being very big gay  duncan,1,0,0,0,0,0,0,0,0,0
maybe bi,1,0,0,0,0,0,0,0,0,0
mount gay,1,0,0,0,0,0,0,0,0,0
your gay,1,0,0,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
queer,1,0,0,0,0,0,0,0,0,0
haha i  m gay,1,0,0,0,0,0,0,0,0,0
u gay af,1,0,0,0,0,0,0,0,0,0
max  s gay date,1,0,0,0,0,0,0,0,0,0
u r gay,1,0,0,0,0,0,0,0,0,0
kenny chesney is gay,1,0,0,0,0,0,0,0,0,0
real gay,1,0,0,0,0,0,0,0,0,0
gay love,1,0,0,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
ur gay,1,0,0,0,0,0,0,0,0,0
for calling you gay cob,1,0,0,0,0,0,0,0,0,0
gayness,1,0,0,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
gay lessons,1,0,0,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
gay excursions,1,0,0,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
gay stuff,1,0,0,0,0,0,0,0,0,0
John Gay,1,0,0,0,0,0,0,0,0,0
Gay orade,1,0,0,0,0,0,0,0,0,0
You being gay,1,0,0,0,0,0,0,0,0,0
Cuz you’re pretty gay,1,0,0,0,0,0,0,0,0,0
Hello I am Barath and I’m gay,1,0,0,0,0,0,0,0,0,0
You're gay,1,0,0,0,0,0,0,0,0,0
Gay stuff,1,0,0,0,0,0,0,0,0,0
Now you're super gay,1,0,0,0,0,0,0,0,0,0
Big gay,1,0,0,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0,0,0
gay bar,1,0,0,0,0,0,0,0,0,0
Ur gay,1,0,0,0,0,0,0,0,0,0
